Symptoms;Disease;Treatment
Abdominal pain, nausea;Gastroesophageal Reflux Disease (GERD);Antacids, proton pump inhibitors
Diarrhea, cramping;Inflammatory Bowel Disease;Anti-inflammatory drugs, dietary modifications
Bloating, heartburn;Peptic Ulcer Disease;Proton pump inhibitors, dietary changes
Constipation, painful bowel movements;Anal Fissure;Topical treatments, dietary changes
Gas, belching;Lactose Intolerance;Lactase supplements, dietary changes
Abdominal pain, diarrhea;Celiac Disease;Gluten-free diet
Nausea, fever;Gastroenteritis;Hydration, anti-nausea medications
Vomiting, abdominal discomfort;Gastroparesis;Dietary changes, medications
Stomach pain, constipation;Functional Constipation;Laxatives, dietary changes
Flatulence, diarrhea;Irritable Bowel Syndrome;Dietary modifications, medications
Abdominal pain, weight loss;Crohn's Disease;Anti-inflammatory medications, dietary changes
Nausea, abdominal swelling;Ascites;Diuretics, paracentesis
Heartburn, regurgitation;Esophageal Varices;Antacids, medications
Bloating, excessive gas;Functional Dyspepsia;Dietary modifications, medications
Diarrhea, dehydration;Rotavirus Infection;Oral rehydration therapy
Abdominal cramps, nausea;Salmonella Infection;Antibiotics if severe, hydration
Constipation, abdominal pain;Intestinal Obstruction;Surgery, dietary changes
Loss of appetite, stomach pain;Peptic Ulcer Disease;Proton pump inhibitors, antibiotics
Gas, stomach cramps;Gastritis;Antacids, dietary changes
Abdominal pain, bloating;Gallstones;Surgery, pain management
Nausea, diarrhea;Infectious Colitis;Hydration, antibiotics if needed
Stomach pain, heartburn;Hiatal Hernia;Lifestyle changes, medications
Vomiting, abdominal pain;Pancreatitis;Fasting, pain management
Diarrhea, abdominal cramps;Gastroenteritis;Hydration, anti-nausea medications
Constipation, flatulence;IBS (Irritable Bowel Syndrome);Dietary changes, medications
Nausea, severe abdominal pain;Appendicitis;Surgery
Abdominal pain, fatigue;Hepatitis;Antiviral medications, lifestyle changes
Diarrhea, abdominal pain;Colon Cancer;Surgery, chemotherapy
Gas, bloating;Functional Dyspepsia;Dietary modifications, medications
Stomach cramps, diarrhea;Clostridium Difficile Infection;Antibiotics, hydration
Abdominal swelling, nausea;Liver Cirrhosis;Dietary changes, medications
Heartburn, regurgitation;Laryngopharyngeal Reflux Disease;Lifestyle modifications, medications
Loss of appetite, abdominal discomfort;Gastroparesis;Dietary changes, medications
Nausea, vomiting, diarrhea;Food Poisoning;Hydration, anti-nausea medications
Abdominal pain, changes in bowel habits;Diverticulitis;Antibiotics, dietary changes
Bloating, constipation;Functional Constipation;Laxatives, dietary changes
Diarrhea, cramps;Gastroenteritis;Hydration, anti-nausea medications
Abdominal pain, bloating;Esophageal Spasm;Dietary changes, medications
Nausea, loss of appetite;Pancreatic Cancer;Pain management, chemotherapy
Stomach cramps, changes in appetite;Gastric Cancer;Surgery, chemotherapy
Diarrhea, abdominal pain;Ulcerative Colitis;Anti-inflammatory medications, dietary changes
Bloating, gas, heartburn;Hiatal Hernia;Lifestyle changes, medications
Abdominal discomfort, nausea;Biliary Colic;Pain management, dietary changes
